province,year,month,form,count
Córdoba,2011,2,SA,0
"Coruña, A",2011,2,SA,1
Cuenca,2011,2,SA,0
Girona,2011,2,SA,4
Granada,2011,2,SA,1
Guadalajara,2011,2,SA,0
Gipuzkoa,2011,2,SA,10
Huelva,2011,2,SA,2
Huesca,2011,2,SA,0
Jaén,2011,2,SA,0
León,2011,2,SA,2
Lleida,2011,2,SA,2
"Rioja, La",2011,2,SA,0
Lugo,2011,2,SA,2
Madrid,2011,2,SA,58
Málaga,2011,2,SA,8
Murcia,2011,2,SA,3
Navarra,2011,2,SA,2
Ourense,2011,2,SA,0
Asturias,2011,2,SA,3
Palencia,2011,2,SA,1
"Palmas, Las",2011,2,SA,4
Pontevedra,2011,2,SA,4
Salamanca,2011,2,SA,1
Santa Cruz de Tenerife,2011,2,SA,0
Cantabria,2011,2,SA,0
Segovia,2011,2,SA,1
Sevilla,2011,2,SA,1
Soria,2011,2,SA,0
Tarragona,2011,2,SA,3
Teruel,2011,2,SA,0
Toledo,2011,2,SA,1
València / Valencia,2011,2,SA,8
Valladolid,2011,2,SA,2
Bizkaia,2011,2,SA,8
Zamora,2011,2,SA,0
Zaragoza,2011,2,SA,2
Ceuta,2011,2,SA,1
Melilla,2011,2,SA,0
Araba / Álava,2011,2,SL,16
Albacete,2011,2,SL,9
Alacant / Alicante,2011,2,SL,76
Almería,2011,2,SL,30
Ávila,2011,2,SL,8
Badajoz,2011,2,SL,16
Illes Balears,2011,2,SL,71
Barcelona,2011,2,SL,455
Burgos,2011,2,SL,13
Cáceres,2011,2,SL,6
Cádiz,2011,2,SL,27
Castelló / Castellón,2011,2,SL,39
Ciudad Real,2011,2,SL,12
Córdoba,2011,2,SL,15
"Coruña, A",2011,2,SL,55
Cuenca,2011,2,SL,7
Girona,2011,2,SL,33
Granada,2011,2,SL,28
Guadalajara,2011,2,SL,5
Gipuzkoa,2011,2,SL,55
Huelva,2011,2,SL,22
Huesca,2011,2,SL,12
Jaén,2011,2,SL,10
León,2011,2,SL,17
Lleida,2011,2,SL,20
"Rioja, La",2011,2,SL,13
Lugo,2011,2,SL,30
Madrid,2011,2,SL,348
Málaga,2011,2,SL,48
Murcia,2011,2,SL,36
Navarra,2011,2,SL,33
Ourense,2011,2,SL,11
Asturias,2011,2,SL,31
Palencia,2011,2,SL,8
"Palmas, Las",2011,2,SL,54
Pontevedra,2011,2,SL,49
Salamanca,2011,2,SL,17
Santa Cruz de Tenerife,2011,2,SL,44
Cantabria,2011,2,SL,19
Segovia,2011,2,SL,15
Sevilla,2011,2,SL,50
Soria,2011,2,SL,7
Tarragona,2011,2,SL,33
Teruel,2011,2,SL,9
Toledo,2011,2,SL,31
València / Valencia,2011,2,SL,125
Valladolid,2011,2,SL,30
Bizkaia,2011,2,SL,58
Zamora,2011,2,SL,5
Zaragoza,2011,2,SL,51
Ceuta,2011,2,SL,2
Melilla,2011,2,SL,1
Araba / Álava,2011,2,Otras,1
Albacete,2011,2,Otras,2
Alacant / Alicante,2011,2,Otras,0
Almería,2011,2,Otras,1
Ávila,2011,2,Otras,0
Badajoz,2011,2,Otras,0
Illes Balears,2011,2,Otras,6
Barcelona,2011,2,Otras,9
Burgos,2011,2,Otras,0
Cáceres,2011,2,Otras,0
Cádiz,2011,2,Otras,0
Castelló / Castellón,2011,2,Otras,1
Ciudad Real,2011,2,Otras,0
Córdoba,2011,2,Otras,0
"Coruña, A",2011,2,Otras,3
Cuenca,2011,2,Otras,1
Girona,2011,2,Otras,1
Granada,2011,2,Otras,0
Guadalajara,2011,2,Otras,0
Gipuzkoa,2011,2,Otras,0
Huelva,2011,2,Otras,3
Huesca,2011,2,Otras,0
Jaén,2011,2,Otras,0
León,2011,2,Otras,0
Lleida,2011,2,Otras,0
"Rioja, La",2011,2,Otras,0
Lugo,2011,2,Otras,1
Madrid,2011,2,Otras,17
Málaga,2011,2,Otras,0
Murcia,2011,2,Otras,0
