province,year,month,form,count,capital_subscribed
Cantabria,2011,1,Otras,0,0
Segovia,2011,1,Otras,0,0
Sevilla,2011,1,Otras,0,0
Soria,2011,1,Otras,0,0
Tarragona,2011,1,Otras,1,399500
Teruel,2011,1,Otras,0,0
Toledo,2011,1,Otras,2,568485
Valencia / València,2011,1,Otras,0,0
Valladolid,2011,1,Otras,0,0
Bizkaia,2011,1,Otras,0,0
Zamora,2011,1,Otras,0,0
Zaragoza,2011,1,Otras,0,0
Ceuta,2011,1,Otras,0,0
Melilla,2011,1,Otras,0,0
Araba / Álava,2011,2,SA,7,23486243
Albacete,2011,2,SA,3,2228837
Alicante / Alacant,2011,2,SA,5,4996502
Almería,2011,2,SA,6,965522
Ávila,2011,2,SA,2,4500000
Badajoz,2011,2,SA,3,146101
Illes Balears,2011,2,SA,8,10983013
Barcelona,2011,2,SA,58,240474713
Burgos,2011,2,SA,0,0
Cáceres,2011,2,SA,4,2416796
Cádiz,2011,2,SA,3,382850
Castellón / Castelló,2011,2,SA,2,1091780
Ciudad Real,2011,2,SA,1,32000
Córdoba,2011,2,SA,2,255000
A Coruña,2011,2,SA,5,2016849
Cuenca,2011,2,SA,0,0
Girona,2011,2,SA,6,4807200
Granada,2011,2,SA,3,2545870
Guadalajara,2011,2,SA,1,81137
Gipuzkoa,2011,2,SA,7,15799603
Huelva,2011,2,SA,1,202056
Huesca,2011,2,SA,0,0
Jaén,2011,2,SA,0,0
León,2011,2,SA,6,1307936
Lleida,2011,2,SA,1,2500000
La Rioja,2011,2,SA,2,8745625
Lugo,2011,2,SA,1,2009747
Madrid,2011,2,SA,89,1200917976
Málaga,2011,2,SA,5,4924555
Murcia,2011,2,SA,6,4742686
Navarra,2011,2,SA,6,3890780
Ourense,2011,2,SA,0,0
Asturias,2011,2,SA,8,14068542
Palencia,2011,2,SA,0,0
Las Palmas,2011,2,SA,4,4957099
Pontevedra,2011,2,SA,3,1503464
Salamanca,2011,2,SA,3,477963
Santa Cruz de Tenerife,2011,2,SA,8,6645889
